Wall time,Step,Value
1680508098.5543656,123,0.5973422527313232
1680508332.280517,247,0.8685345649719238
1680508567.8418493,371,0.9296855926513672
1680508801.1682281,495,0.9471985101699829
1680509034.9367824,619,0.9569177031517029
1680509267.8015552,743,0.9433507919311523
1680509504.0155191,867,0.9439658522605896
1680509739.319202,991,0.9533870816230774
1680509974.937202,1115,0.9214474558830261
1680510209.962191,1239,0.9083144664764404
1680510444.7326076,1363,0.9365847706794739
1680510679.4809582,1487,0.9334339499473572
1680510912.2561948,1611,0.9343096613883972
1680511145.0827022,1735,0.9359038472175598
1680511379.0235605,1859,0.9322056770324707
1680511612.7099433,1983,0.927887499332428
1680511848.945963,2107,0.9246089458465576
1680512083.4902809,2231,0.9153304696083069
1680512317.6451328,2355,0.9072800874710083
1680512552.8530083,2479,0.9022799134254456
1680512785.7013743,2603,0.8979134559631348
1680513020.3321614,2727,0.8896167874336243
1680513256.365423,2851,0.8852116465568542
1680513493.4550047,2975,0.8833673596382141
1680513729.595198,3099,0.8749082088470459
1680513964.651642,3223,0.8695045709609985
1680514198.855978,3347,0.8641700148582458
1680514432.4900506,3471,0.8599951863288879
1680514665.1317775,3595,0.8547073602676392
1680514898.511136,3719,0.8481322526931763
1680515133.29188,3843,0.8419944643974304
1680515369.456508,3967,0.8376569747924805
1680515604.4686718,4091,0.8325991630554199
1680515837.9068203,4215,0.8297110795974731
1680516071.4583344,4339,0.8315706849098206
1680516304.3309214,4463,0.8252789974212646
1680516537.9671278,4587,0.8236983418464661
1680516771.210458,4711,0.8226737380027771
1680517004.5453806,4835,0.822055995464325
1680517238.072807,4959,0.8213580846786499
1680517472.7833428,5083,0.8208529949188232
1680517706.1768012,5207,0.8204145431518555
1680517929.4661028,5331,0.8201360106468201
1680518148.9951532,5455,0.819686770439148
1680518368.4018505,5579,0.8191984295845032
1680518587.8219197,5703,0.8186238408088684
1680518809.6617217,5827,0.8184265494346619
1680519029.1811688,5951,0.8180516362190247
1680519249.127245,6075,0.8178020715713501
1680519468.2279503,6199,0.8172454237937927
1680519689.3193758,6323,0.8167468309402466
1680519908.7384162,6447,0.8159957528114319
1680520128.2241068,6571,0.8151241540908813
1680520347.7884884,6695,0.8144253492355347
1680520568.187159,6819,0.8143668174743652
1680520790.4641118,6943,0.8142733573913574
1680521011.198192,7067,0.8141677975654602
1680521231.6987662,7191,0.8140668272972107
1680521452.799637,7315,0.8139815330505371
1680521674.3985524,7439,0.8138808012008667
1680521894.8531804,7563,0.8138072490692139
1680522113.3878653,7687,0.813721239566803
1680522333.7803223,7811,0.8136460781097412
1680522554.3366935,7935,0.8135705590248108
1680522774.9609497,8059,0.8134741187095642
1680522996.3674927,8183,0.8133875131607056
1680523217.946049,8307,0.8133313655853271
1680523437.317446,8431,0.8132559061050415
1680523655.747257,8555,0.813180685043335
1680523875.0889227,8679,0.8130838871002197
1680524096.4250562,8803,0.8130121827125549
1680524316.2501118,8927,0.8129425048828125
1680524536.7045987,9051,0.8128805756568909
1680524756.2018673,9175,0.8128125667572021
1680524975.6368778,9299,0.8127394914627075
1680525195.637584,9423,0.8126762509346008
1680525414.7846959,9547,0.8126106262207031
1680525634.3621383,9671,0.8125309944152832
1680525854.0863345,9795,0.8124454021453857
1680526073.266346,9919,0.8123862147331238
1680526292.8360767,10043,0.8122867345809937
1680526512.7274885,10167,0.8121998906135559
1680526731.9917579,10291,0.8121082782745361
1680526952.2391047,10415,0.8120150566101074
1680527172.5670495,10539,0.8119571208953857
1680527398.4452603,10663,0.8118874430656433
