Wall time,Step,Value
1680508098.554414,123,1.4026576280593872
1680508332.2805653,247,1.1314653158187866
1680508567.8418958,371,1.0703145265579224
1680508801.1682718,495,1.052801489830017
1680509034.9368281,619,1.0430822372436523
1680509267.8016028,743,1.0566493272781372
1680509504.0155628,867,1.0560343265533447
1680509739.3192556,991,1.0466129779815674
1680509974.937247,1115,1.0785526037216187
1680510209.9622376,1239,1.0916855335235596
1680510444.7326539,1363,1.063415288925171
1680510679.4810023,1487,1.0665661096572876
1680510912.2562456,1611,1.0656903982162476
1680511145.082749,1735,1.0640960931777954
1680511379.02361,1859,1.0677943229675293
1680511612.7099905,1983,1.0721123218536377
1680511848.9460094,2107,1.0753909349441528
1680512083.4903271,2231,1.0846694707870483
1680512317.6451776,2355,1.0927199125289917
1680512552.8530526,2479,1.0977202653884888
1680512785.7014213,2603,1.1020866632461548
1680513020.332208,2727,1.1103832721710205
1680513256.36547,2851,1.1147884130477905
1680513493.4550545,2975,1.1166326999664307
1680513729.5952451,3099,1.1250916719436646
1680513964.6516876,3223,1.130495548248291
1680514198.8560221,3347,1.135830044746399
1680514432.4900951,3471,1.1400047540664673
1680514665.1318254,3595,1.1452925205230713
1680514898.5111816,3719,1.1518677473068237
1680515133.291927,3843,1.1580055952072144
1680515369.4565554,3967,1.1623430252075195
1680515604.468727,4091,1.1674009561538696
1680515837.9068646,4215,1.1702888011932373
1680516071.4583795,4339,1.1684292554855347
1680516304.3309705,4463,1.174721121788025
1680516537.967172,4587,1.1763017177581787
1680516771.210506,4711,1.1773263216018677
1680517004.5454295,4835,1.1779439449310303
1680517238.0728593,4959,1.17864191532135
1680517472.7833905,5083,1.1791470050811768
1680517706.176848,5207,1.179585337638855
1680517929.4661515,5331,1.1798639297485352
1680518148.9951973,5455,1.180313229560852
1680518368.4018943,5579,1.180801510810852
1680518587.8219638,5703,1.1813762187957764
1680518809.6617677,5827,1.1815733909606934
1680519029.1812148,5951,1.1819483041763306
1680519249.127293,6075,1.1821978092193604
1680519468.2279959,6199,1.1827545166015625
1680519689.3194213,6323,1.1832531690597534
1680519908.7384615,6447,1.1840044260025024
1680520128.2241504,6571,1.184875726699829
1680520347.788534,6695,1.1855747699737549
1680520568.1872044,6819,1.1856333017349243
1680520790.4641569,6943,1.185726523399353
1680521011.1982377,7067,1.1858322620391846
1680521231.6988142,7191,1.185933232307434
1680521452.7996824,7315,1.1860183477401733
1680521674.398596,7439,1.1861190795898438
1680521894.853225,7563,1.1861926317214966
1680522113.3879092,7687,1.1862789392471313
1680522333.780368,7811,1.1863540410995483
1680522554.3367376,7935,1.1864293813705444
1680522774.9609923,8059,1.1865259408950806
1680522996.3675396,8183,1.186612606048584
1680523217.9460924,8307,1.1866685152053833
1680523437.3174934,8431,1.1867440938949585
1680523655.747301,8555,1.1868191957473755
1680523875.0889661,8679,1.1869161128997803
1680524096.4251003,8803,1.1869878768920898
1680524316.2501554,8927,1.187057375907898
1680524536.7046492,9051,1.1871196031570435
1680524756.201913,9175,1.1871875524520874
1680524975.6369214,9299,1.187260389328003
1680525195.6376274,9423,1.1873239278793335
1680525414.7847395,9547,1.1873893737792969
1680525634.3621843,9671,1.1874690055847168
1680525854.086377,9795,1.1875545978546143
1680526073.2663906,9919,1.187613844871521
1680526292.8361206,10043,1.187713384628296
1680526512.7275321,10167,1.1878001689910889
1680526731.9918022,10291,1.1878917217254639
1680526952.2391465,10415,1.1879850625991821
1680527172.5670977,10539,1.1880428791046143
1680527398.445305,10663,1.1881126165390015
