Wall time,Step,Value
1680529495.7661183,123,0.7607986927032471
1680529732.3870397,247,0.8559456467628479
1680529968.8721306,371,0.919478714466095
1680530207.0113466,495,0.9240803122520447
1680530442.7437313,619,0.9580674767494202
1680530680.2236185,743,0.9561643004417419
1680530918.7988262,867,0.93021160364151
1680531156.33013,991,0.92070072889328
1680531393.9508214,1115,0.9021013975143433
1680531630.7358718,1239,0.9175306558609009
1680531868.3144548,1363,0.9181879162788391
1680532105.3555992,1487,0.8852975368499756
1680532343.9825912,1611,0.923429548740387
1680532582.8143256,1735,0.9299982786178589
1680532819.3456728,1859,0.9076552987098694
1680533055.4399283,1983,0.8973012566566467
1680533296.7552512,2107,0.8887532353401184
1680533532.964883,2231,0.8816536664962769
1680533769.221907,2355,0.8750106692314148
1680534006.109798,2479,0.8724741339683533
1680534244.391009,2603,0.8686356544494629
1680534481.8500452,2727,0.863558828830719
1680534721.8502355,2851,0.8567467331886292
1680534960.1839004,2975,0.8517135977745056
1680535197.7078617,3099,0.845012366771698
1680535432.779775,3223,0.8401677012443542
1680535669.959225,3347,0.8386509418487549
1680535909.4015331,3471,0.8375070691108704
1680536150.2865908,3595,0.8365375995635986
1680536388.7491984,3719,0.8356373906135559
1680536627.4372332,3843,0.8347311019897461
1680536865.326579,3967,0.834083080291748
1680537101.4650545,4091,0.8334461450576782
1680537337.9652946,4215,0.8328063488006592
1680537576.020347,4339,0.832006573677063
1680537816.1089058,4463,0.8312669992446899
1680538054.9194846,4587,0.8305884003639221
1680538292.5980546,4711,0.8299742937088013
1680538530.6561918,4835,0.829159677028656
1680538766.7183828,4959,0.8284949064254761
1680539006.8340387,5083,0.8276310563087463
1680539244.638888,5207,0.8268733024597168
1680539484.2046125,5331,0.8263233304023743
1680539725.4071348,5455,0.8255062699317932
1680539963.1543012,5579,0.8249787092208862
1680540199.5814235,5703,0.8243844509124756
1680540436.3199692,5827,0.8237980604171753
1680540673.8683398,5951,0.8230665326118469
1680540912.962511,6075,0.822258710861206
1680541151.7812934,6199,0.8213639855384827
1680541391.1150742,6323,0.8202930688858032
1680541629.0954988,6447,0.819577693939209
1680541866.5970247,6571,0.8187389969825745
1680542102.4757173,6695,0.8179749250411987
1680542340.203585,6819,0.8172301054000854
1680542578.9639404,6943,0.8163771033287048
1680542818.5341556,7067,0.8155015110969543
1680543056.7198887,7191,0.8148344159126282
1680543294.4886334,7315,0.8140636086463928
1680543534.3428977,7439,0.8130121827125549
1680543770.7177207,7563,0.8121195435523987
1680544006.8314953,7687,0.8113210201263428
1680544243.8294814,7811,0.810357928276062
1680544482.6735866,7935,0.8093680739402771
1680544719.177521,8059,0.8086448907852173
1680544957.5145993,8183,0.8078098297119141
1680545195.4685638,8307,0.8068854808807373
1680545431.7462287,8431,0.805934488773346
1680545668.0067477,8555,0.8050724267959595
1680545904.0923123,8679,0.804308295249939
1680546142.1693215,8803,0.8035971522331238
1680546381.6656573,8927,0.8028586506843567
1680546620.0058901,9051,0.8020890355110168
1680546859.6672697,9175,0.801238477230072
1680547097.9702446,9299,0.8003516793251038
1680547334.3447676,9423,0.7996311187744141
1680547569.4367404,9547,0.7985774874687195
1680547809.1253507,9671,0.7976787090301514
1680548048.4761672,9795,0.7968190908432007
1680548288.1668546,9919,0.7961193323135376
1680548528.3586462,10043,0.7952186465263367
1680548765.568835,10167,0.7944438457489014
1680549000.6226017,10291,0.7934868335723877
1680549236.7450075,10415,0.7925336956977844
1680549470.9495523,10539,0.7913374304771423
1680549696.448001,10663,0.7904804944992065
1680549918.5588078,10787,0.7895693778991699
1680550141.523078,10911,0.7889131307601929
